zone,year_mean,length_interval,forest_area_change,forest_area_abs,wood_harvest_int_change,after_storm,human_pop_change,mechanisation_abs,mechanisation_period,grassland_area_change,grassland_area_abs,temperature_change,temperature_abs
CentralAlps,1933.5,8,0.668542805120826,32.081259884999,-0.0324555130999161,FALSE,0.450565302378096,0.0169046700387607,FALSE,-0.355674795203965,34.7420378743103,0.0157732492149557,-0.107940616990056
CentralAlps,1935.5,12,0.678199005956458,32.727930862303,0.0773562449400781,FALSE,0.450565302378159,0.023876992859034,FALSE,-0.328380634481942,34.0936409449225,-0.0655180162068344,-0.287277821112034
CentralAlps,1939.5,8,0.663703502373153,33.9413546134545,0.277929538175488,FALSE,0.527983183150825,0.042652992954755,FALSE,-0.205787507060747,32.9227524081872,0.0305980307229449,-0.219197105905978
CentralAlps,1945.5,8,0.438398272806484,35.10152171941,-0.146288098679804,FALSE,0.792833827899644,0.10329694973477,FALSE,-0.103864151123359,32.1107095183866,0.141379959141899,0.429552694629727
CentralAlps,1945.5,12,0.496110770507072,35.0302065349215,-0.0903736345733996,FALSE,0.790187551256806,0.103520524632699,FALSE,-0.103864151123364,32.1107095183866,0.141626549397961,0.188837647205509
CentralAlps,1951.5,8,0.437573766052127,35.6134470627122,0.0459581247705661,FALSE,1.00444390685627,0.212518657248914,FALSE,-0.103864151123361,31.4875246116464,-0.194438678284009,0.217290258826574
CentralAlps,1955.5,12,0.35355561859306,35.8385782433248,-0.0433614954841596,FALSE,1.0870524934598,0.362066429540985,FALSE,-0.072211400357907,31.1704667758369,0.0313764351812989,0.0537520382684956
CentralAlps,1957.5,8,0.29459575752353,35.942945656179,-0.0967337295121626,FALSE,1.11126471500676,0.442976161873424,FALSE,-0.0523219389555939,31.0119378579321,0.227048447462859,-0.0390114447238944
CentralAlps,1963.5,8,-0.302066926269438,35.9506250718654,-0.0385130541226487,FALSE,1.6058858123278,0.732847374462292,FALSE,-0.00810969235313823,30.7846226017335,-0.034523588573388,-0.100425962688201
CentralAlps,1965.5,12,0.119794801620565,35.970929847951,-0.0138664738291205,FALSE,1.45053775516709,0.809764130586277,FALSE,0.021686963603074,30.8626287886365,-0.018580515063863,-0.134311777737332
CentralAlps,1969.5,8,0.429843642219302,36.0435896445908,0.0307345819738184,FALSE,0.88623005660496,0.961265921486046,FALSE,-0.0324140789642629,30.8846385373777,-0.0234358279324425,-0.0942877131624402
