PROJET,focal_species
P_015,Rosalia alpina
P_048,Cerambyx cerdo
P_091,Lampyris noctiluca
P_103,Lucanus cervus
P_112,Lucanus cervus
P_118,Cerambyx cerdo
P_131,Rosalia alpina
P_149,Lucanus cervus
P_162,Poecilium glabratum
P_168,Anthaxia candens | Anthaxia suzannae
